time,temp,press,hum
2021/01/20 12:36,23.27,1027.04,33.38
2021/01/20 12:37,23.34,1027.02,32.18
2021/01/20 12:38,23.38,1027.02,34.15
2021/01/20 12:39,23.58,1027.0,31.47
2021/01/20 12:40,23.78,1027.02,32.02
2021/01/20 12:41,23.77,1026.99,31.11
2021/01/20 12:42,23.58,1026.97,31.06
2021/01/20 12:43,23.58,1026.99,31.18
2021/01/20 12:44,23.58,1026.98,31.81
2021/01/20 12:45,23.38,1027.0,30.8
2021/01/20 12:46,23.21,1027.0,30.92
2021/01/20 12:47,23.08,1026.96,30.95
2021/01/20 12:48,23.13,1026.97,32.21
2021/01/20 12:49,23.26,1026.95,32.48
2021/01/20 12:50,23.4,1026.94,31.79
2021/01/20 12:51,23.35,1026.99,30.99
2021/01/20 12:52,23.28,1026.97,32.78
2021/01/20 12:53,23.28,1027.0,32.7
2021/01/20 12:54,23.28,1026.98,31.73
2021/01/20 12:55,23.47,1026.96,30.33
2021/01/20 12:56,23.71,1026.95,29.94
2021/01/20 12:57,23.6,1026.9,29.8
2021/01/20 12:58,23.58,1026.94,29.63
2021/01/20 12:59,23.34,1026.95,29.28
2021/01/20 13:00,23.64,1026.98,30.09
2021/01/20 13:01,23.8,1026.98,28.59
2021/01/20 13:02,23.87,1027.04,28.46
2021/01/20 13:03,23.87,1026.99,28.42
2021/01/20 13:04,23.96,1027.0,28.83
2021/01/20 13:05,24.05,1027.03,28.72
2021/01/20 13:06,24.13,1027.02,28.32
2021/01/20 13:07,24.18,1027.02,27.75
2021/01/20 13:08,24.11,1027.02,27.14
2021/01/20 13:09,24.07,1026.97,27.46
2021/01/20 13:10,24.13,1026.91,27.82
2021/01/20 13:11,24.2,1026.94,27.95
2021/01/20 13:12,24.25,1026.88,27.63
2021/01/20 13:13,24.33,1026.91,28.2
2021/01/20 13:14,24.4,1026.88,28.22
2021/01/20 13:15,24.44,1026.9,28.26
2021/01/20 13:16,24.47,1026.88,28.32
2021/01/20 13:17,24.5,1026.91,27.85
2021/01/20 13:18,24.52,1026.91,28.06
2021/01/20 13:19,24.53,1026.89,27.58
2021/01/20 13:20,24.54,1026.9,27.73
2021/01/20 13:21,24.56,1026.88,27.82
2021/01/20 13:22,24.6,1026.86,27.55
2021/01/20 13:23,24.64,1026.87,28.02
2021/01/20 13:24,24.68,1026.87,27.48
2021/01/20 13:25,24.65,1026.84,27.36
2021/01/20 13:26,24.64,1026.85,27.36
2021/01/20 13:27,24.65,1026.83,27.72
2021/01/20 13:28,24.69,1026.81,27.66
2021/01/20 13:29,24.74,1026.81,27.73
2021/01/20 13:30,24.75,1026.83,26.86
2021/01/20 13:31,24.75,1026.81,27.51
2021/01/20 13:32,24.78,1026.81,27.8
2021/01/20 13:33,24.78,1026.82,27.14
2021/01/20 13:34,24.8,1026.8,27.53
2021/01/20 13:35,24.85,1026.84,27.53
